Month,Year,Date,Confirmed Cases (Cumulative),Confirmed Cases: Daily Change,Active Cases (As of Date),Recovered Cases (Cumulative),In Hospital (As of Date),In Hospital: Daily Change,In Intensive Care (As of Date),In Intensive Care: Daily Change,Deaths (Cumulative),Deaths: Daily Change,Test Count: Edmonton,Test Count: Alberta,Test Percentage,Test Positivity Rate,Hospitalization Rate,Rate of Cases: Edmonton
,,,,30,278,1285,25,0,6,0,42,3,3341,8975,37,1.08,0.3,112.9
,,,,24,278,1304,26,1,6,0,47,5,2302,8670,27,1.22,0.3,114.6
,,,,18,272,1328,26,0,6,0,47,0,2247,8384,27,0.93,0.4,115.8
,,,,33,,,,,,,,,3684,11501,32,1.09,0.4,
,,,,22,,,,,,,,,2847,9144,31,0.91,0.3,
,,,,24,,,,,,,,,2030,6933,29,1.48,0.2,
,,,,26,275,1427,26,,8,,50,,2678,7236,37,0.97,0.3,123.2
,,,,49,308,1443,25,-1,8,0,50,0,2639,7197,37,2.01,0.3,126.7
,,,,34,325,1459,24,-1,8,0,51,1,3563,7987,45,1.01,0.2,129.1
,,,,39,329,1493,23,-1,7,-1,52,1,2463,8553,29,2.03,0.3,131.8
,,,,50,,,,,,,,,3130,8779,36,1.98,0.4,
,,,,42,,,,,,,,,2961,10166,29,1.69,0.5,
,,,,26,388,1550,26,,7,,54,,2795,7412,38,0.97,0.7,140.1
,,,,49,401,1586,26,0,7,0,54,0,3122,7057,44,1.67,0.6,143.6
,,,,95,470,1611,21,-5,7,0,55,1,3579,8024,45,2.43,0.6,150.2
,,,,30,475,1635,21,0,7,0,56,1,2497,7746,32,1.08,0.7,152.3
,,,,52,497,1665,22,1,7,0,56,0,2850,8199,35,1.75,0.7,156
,,,,81,,,,,,,,,3827,10886,35,1.62,0.6,
,,,,55,,,,,,,,,2681,8663,31,1.9,0.7,
,,,,59,593,1764,20,,7,,56,,2798,8691,32,2.14,0.6,169.7
,,,,34,636,1755,20,0,7,0,56,0,2603,8027,32,2.15,0.7,172.1
,,,,52,631,1812,22,2,7,0,56,0,3003,9029,33,1.73,0.7,175.8
,,,,52,622,1873,19,-3,6,-1,56,0,2845,9281,31,1.58,0.7,179.4
,,,,86,676,1905,18,-1,4,-2,56,0,3480,9866,35,2.41,0.6,185.5
,,,,25,,,,,,,,,3030,10175,30,0.79,0.8,
,,,,47,,,,,,,,,3822,10096,38,1.2,0.9,
,,,,29,631,2049,22,,4,,58,,2621,8489,31,1.03,0.9,192.6
,,,,38,608,2109,22,0,3,-1,59,1,2730,8440,32,1.32,0.8,195.3
,,,,61,625,2153,23,1,3,0,59,0,3847,9239,42,1.59,0.9,199.5
,,,,52,589,2240,25,2,3,0,60,1,3725,10089,37,1.29,1.2,199.5
,,,,33,544,2318,21,-4,4,1,60,0,3509,10962,32,0.94,1.1,205.5
,,,,43,,,,,,,,,3693,10220,36,1.22,1,
,,,,75,,,,,,,,,4137,11205,37,1.72,0.8,
,,,,53,551,2481,20,,4,,61,,3808,12244,31,1.37,0.9,217.6
,,,,66,542,2555,19,-1,4,0,62,1,2734,9334,29,2.05,1.1,222.2
,,,,51,538,2610,21,2,4,0,62,0,2891,8296,35,1.66,1.3,225.8
,,,,45,527,2666,22,1,4,0,62,0,2714,9547,28,1.47,1.4,228.9
,,,,85,544,2734,21,-1,4,0,62,0,4523,10709,42,1.66,1.7,234.9
,,,,54,,,,,,,,,4479,11386,39,1.56,1.6,
,,,,84,,,,,,,,,3327,11368,29,2.37,1.7,
,,,,63,,,,,,,,,3998,12091,33,1.5,1.6,
,,,,65,648,2892,22,,3,,66,,3984,12561,32,1.61,1.5,253.6
,,,,53,613,2979,22,0,2,-1,67,1,4308,10500,41,1,1.3,257.4
,,,,63,596,3058,22,0,1,-1,68,1,3587,9711,37,1.67,0.9,261.8
,,,,50,580,3124,21,-1,1,0,68,0,4621,11979,39,1.15,0.6,265.3
,,,,30,,,,,,,,,3552,12757,28,0.96,0.9,
,,,,93,,,,,,,,,6504,18919,34,1.25,1.1,
,,,,67,654,3239,18,,2,,69,,3484,14451,24,1.95,1.1,278.7
,,,,64,650,3307,18,0,2,0,69,0,5177,12985,40,1.31,1.1,283.2
,,,,119,710,3366,19,1,1,-1,69,0,6188,12540,49,1.76,1.1,291.5
,,,,90,751,3415,21,2,4,3,69,0,6233,13003,48,1.43,1,297.9
,,,,39,711,3494,22,1,2,-2,69,0,3488,11313,31,1.06,1.2,300.6
,,,,63,,,,,,,,,3988,12451,32,1.45,1,
,,,,67,,,,,,,,,3787,9748,39,1.69,0.9,
,,,,80,747,3668,19,,3,,69,,5413,12760,42,1.33,0.9,315.4
,,,,88,820,3682,18,-1,3,0,70,1,3356,14264,24,2.18,1,321.6
,,,,77,821,3758,21,3,5,2,70,0,3945,12317,32,1.85,0.9,327
,,,,78,773,3884,21,0,5,0,70,0,4147,12765,32,1.54,1.7,332.5
,,,,81,786,3952,20,-1,5,0,70,0,5036,14211,35,1.45,1.8,338.2
,,,,33,,,,,,,,,5725,16318,35,1.1,1.9,
,,,,87,,,,,,,,,5738,16365,35,1.52,1.8,
,,,,92,779,4168,21,,5,,73,,5859,18581,32,1.48,1.9,353.1
,,,,84,815,4215,21,0,4,-1,74,1,4472,16187,28,1.88,1.8,359
,,,,83,832,4280,20,-1,5,1,75,1,3986,14071,28,1.88,2.2,364.8
,,,,113,851,4372,19,-1,5,0,77,2,5804,14678,40,1.72,1.6,372.8
,,,,89,835,4477,22,3,7,2,77,0,6624,13379,50,1.43,1.7,379
,,,,75,,,,,,,,,5351,12630,42,1.53,2.4,
,,,,142,,,,,,,,,7035,17445,40,1.92,2.5,
,,,,122,982,4663,23,,6,,83,,5463,15923,34,2.14,2.5,402.9
,,,,158,1063,4740,23,0,5,-1,83,0,5373,17654,30,2.94,2.9,414
,,,,88,1085,4806,28,5,5,0,83,0,6196,13610,46,1.15,3.1,420.2
,,,,266,1251,4906,35,7,6,1,83,0,7846,16408,48,3.35,3.4,438.9
,,,,157,1329,4985,39,4,4,-2,83,0,6768,25383,27,2.35,3.2,449.9
,,,,122,,,,,,,,,6407,16193,40,2.08,2.7,
,,,,126,,,,,,,,,5247,13874,38,2.21,2.9,
,,,,127,,,,,,,,,6576,16657,39,1.93,3.3,
,,,,105,1444,5347,44,,5,,86,,4790,11459,42,2.21,3.2,483.7
,,,,131,1473,5448,48,4,6,1,87,1,5282,14881,35,2.4,3.3,492.9
,,,,120,1497,5543,49,1,6,0,88,1,4861,12721,38,2.43,3.5,501.4
,,,,177,1525,5692,63,14,5,-1,88,0,5949,14155,42,2.82,4.1,513.8
,,,,141,,,,,,,,,6146,16021,38,2.47,4.1,
,,,,86,,,,,,,,,4076,12556,32,2.04,4,
,,,,204,1604,6044,64,,8,,88,,5502,13578,41,3.62,3.7,544.1
,,,,147,1607,6187,63,-1,8,0,89,1,4270,13003,33,3.42,3.6,554.5
,,,,180,1649,6323,60,-3,7,-1,91,2,4641,14904,31,3.64,3.3,567.1
,,,,220,1718,6474,61,1,9,2,91,0,5241,14304,37,4.08,2.8,582.6
,,,,191,1751,6629,61,0,7,-2,94,3,5606,15208,37,3.37,2.5,596
,,,,176,,,,,,,,,5689,16367,35,3.11,2.6,
,,,,300,,,,,,,,,6326,17106,37,4.82,2.7,
,,,,260,2179,6933,62,,8,,98,,4284,12666,34,6.07,2.9,647.8
,,,,155,2290,6976,64,2,7,-1,99,1,2879,9325,31,5.28,3.2,658.7
,,,,144,2245,7162,70,6,9,2,102,3,3533,10631,33,4.13,3.9,668.8
,,,,197,2277,7326,70,0,8,-1,103,1,3584,12153,29,5.47,4.6,682.7
,,,,218,2312,7505,78,8,10,2,107,4,4646,12938,36,4.46,5.3,698
,,,,197,,,,,,,,,4540,13151,35,4.34,5.3,
,,,,167,,,,,,,,,3911,13180,30,4.35,5.9,885.5
